id,slug,cnt_pages,cnt_products_last_page
3971,brus_strelochnogo_perevoda,176,18
4035,plastikovaja_podzemnaja_emkost,1,8
4037,elektrooborudovanie,1,0
4038,preobrazovateli_toka,1,0
4042,truba_iz_obechajki,290,1
4065,dlja_svaj,1,16
4084,sinhronoskopy,1,3
4085,indikatory,1,3
4087,ustanovki_poverochnye,1,3
4097,tara_dlja_rastvora_,1,0
4098,jaschiki_dlja_rastvora,1,8
4100,jaschiki_kamenschika,1,6
4102,badi_nepovorotnye_dlja_betona,1,4
4112,tsiklony,6,6
4119,kolesnye_pary_vagonov,1,13
4120,vannochki_dlja_svarki,1,15
4125,rigeli,7,8
4127,perehodnik-adapter_ost-26-07-763-73,1,16
4140,tehnologicheskie_telezhki,1,11
4147,kronshtejny,3,8
4149,apparaty_s_peremeshivajuschimi_ustrojstvami,1,2
4150,metallicheskie_kessony,1,11
4152,kovera_gazovye,1,4
4154,filtry_sdzh,2,4
4163,mostovye_konstruktsii,2,9
4169,prostavki_montazhnye,1,7
4181,emkosti_dlja_ksilot,1,9
4204,uplotneniya_dlya_rezbovyh_soedinenij,2,1
4206,mednye_uplotnitelnye_kolca,1,12
4210,musornye_kontejnery,1,11
4211,protivopozharnye_dveri,2,16
4216,filtry_shtucernye,2,8
4239,stavni_zashchitno_-_germeticheskie,1,4
4245,kolonki_upravleniya_zadvizhkami,1,14
4248,kozhuhi_dlya_flancevyh_soedinenij,5,10
4259,salnyki_nabivnyie,17,1
4261,salniky_serii_5_900_3,37,3
4272,protivopozharnoe_oborudovanie,1,0
4273,stekla_protivopozharnye,1,12
4277,zakladnye_detali,45,15
4283,stalnye_vstavki_dlya_soedineniya_zhelezobetonnyh_trub,2,12
4369,molnieotvod_otdelno_stojaschij,1,3
4370,protivopozharnye_vitrazhi,1,7
4372,protivopozharnoe_okno,1,10
4373,vysokoprochnye_bolty,5,8
4374,gajka_vysokoprochnaja,2,2
4375,kljuch_sharnirnyj,1,7
4377,oporno-napravljajuschee_koltso,2,2
4383,truba_burilnaja,2,2
4385,doloto,117,18
4391,dissolvery,2,11
4399,koronka_burovaja,10,9
4400,rezervuar_dlja_masla,1,12
4401,himicheskie_rezervuary,1,11
4513,kozhuhi_aljuminievye_xotpipe_prjamoj_uchastok,13,17
4561,vodopodogrevateli_setevoj_vody_psv,3,6
